author,approved_source_count,selected_licenses,categories,source_urls
Cobra Hubbard (BlueVortexGames),15,CC-BY 3.0,hair,https://opengameart.org/content/anime-lpc-hair; https://opengameart.org/content/lpc-hair
dalonedrau,21,CC-BY-SA 3.0,body; legs,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-pants; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-revised-character-basics
Daniel Eddeland (daneeklu),207,CC-BY 3.0; CC-BY-SA 3.0,backpack; head; weapon,http://opengameart.org/content/lpc-folk; https://opengameart.org/content/lpc-boarman; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-extended-weapon-animations; https://opengameart.org/content/lpc-farming-tilesets-magic-animations-and-ui-elements; https://opengameart.org/content/lpc-faun-and-minotaur; https://opengameart.org/content/lpc-lizard-headgear; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-more-backpacks; https://opengameart.org/content/lpc-style-farm-animals; https://opengameart.org/content/lpc-walk-animations-for-bows; https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident; https://opengameart.org/content/lpc-wild-boar
DarkwallLKE,33,CC-BY-SA 3.0; OGA-BY 3.0,hat; shield,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-crown; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-kite-shield; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-shields-pack
DCSS authors,60,CC0,hat,http://opengameart.org/content/dungeon-crawl-32x32-tiles; https://opengameart.org/content/cc0-headgear-icons; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-helmets-mega-pack
Dr. Jamgo,8,CC0,weapon,https://opengameart.org/content/lpc-simple-staff
drjamgo@hotmail.com,36,CC0,shadow; weapon,https://opengameart.org/content/lpc-crossbow-final; https://opengameart.org/content/shadow-for-lpc-sprite
Durrani,90,CC-BY-SA 3.0; OGA-BY 3.0,body,https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-child-standing-template; https://opengameart.org/content/lpc-children-walk-animation; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-teen-unisex-base-clothes
Eliza Wyatt,2,OGA-BY 3.0,body,https://opengameart.org/content/lpc-revised-elders
Eliza Wyatt (ElizaWy),90,CC-BY-SA 3.0; OGA-BY 3.0,body; head,https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-revised-elders; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-teen-unisex-base-clothes
ElizaWy,4531,CC-BY-SA 3.0; CC0; OGA-BY 3.0,beards; body; dress; eyes; facial; feet; hair; hat; head; legs; neck; shield; torso,http://opengameart.org/content/lpc-clothing-updates; http://opengameart.org/content/lpc-revised-character-basics; http://opengameart.org/content/sara-wizard; https://github.com/ElizaWy/LPC/blob/main/Characters/Hair; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing/Feminine%2C%20Thin/Accessories; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing/Masculine%2C%20Thin/Accessories/Neckwear%2001%20-%20Bowtie; https://github.com/ElizaWy/LPC/tree/main/Characters/Hair; https://github.com/ElizaWy/LPC/tree/main/Characters/Head; https://github.com/ElizaWy/LPC/tree/main/Characters/Head%20Accessories; https://github.com/ElizaWy/LPC/tree/main/Characters/Head/Head%20Overlay%2001%20-%20Large%20Nose; https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Shield%2001%20-%20Heater%20Shield; https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/3-hairs-for-lpc; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-2-characters; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-child-standing-template; https://opengameart.org/content/lpc-children-walk-animation; https://opengameart.org/content/lpc-clothes-and-hair; https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-expanded-hair; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-simple-shirts; https://opengameart.org/content/lpc-expanded-sit-run-jump-more; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-gentleman; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-helmets-mega-pack; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-pants; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pink-short-hair; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-realistic-helmet-pack; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-revised-elders; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-sara; https://opengameart.org/content/lpc-shields; https://opengameart.org/content/lpc-teen-androgynous-short-sleeve-shirt; https://opengameart.org/content/lpc-teen-unisex-base-clothes; https://opengameart.org/content/lpc-wings-new-animations; https://opengameart.org/content/ulpc-expanded-expressions
ElizaWy; walk and down by JaidynReiman,56,OGA-BY 3.0,weapon,https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
Emilio J. Sanchez-Sierra,15,CC-BY-SA 3.0,hair,https://opengameart.org/content/lpc-hair; https://opengameart.org/content/steampun-a-fy-with-concept-art
Evert,172,CC-BY-SA 3.0; OGA-BY 3.0,body; feet; hat; head,https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-faun-and-minotaur; https://opengameart.org/content/lpc-folk; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-lizard-headgear; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-style-farm-animals; https://opengameart.org/content/lpc-teen-unisex-base-clothes; https://opengameart.org/content/tower-defense-prototyping-assets-4-monsters-some-tiles-a-background-image; https://opengameart.org/content/wartotaur-4-directions; https://opengameart.org/content/wizard-2; https://opengameart.org/content/wizard-hat
Fabzy,120,CC-BY-SA 3.0,hair; hat,https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/the-revolution-hair
gr3yh47,60,CC-BY-SA 3.0,weapon,https://opengameart.org/content/lpc-extended-weapon-animations; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-walk-animations-for-bows; https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident
Inboxninja,22,CC-BY-SA 3.0,tools; weapon,https://opengameart.org/content/lpc-hand-tools; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-spear-and-shovel-reworked
JaidynReiman,8241,CC-BY 3.0; CC-BY-SA 3.0; CC0; OGA-BY 3.0; OGA-BY 3.0+; OGA-BY-3.0,arms; beards; body; cape; dress; eyes; facial; feet; hair; hat; head; legs; neck; shadow; shield; shoulders; tools; torso,http://opengameart.org/content/lpc-clothing-updates; http://opengameart.org/content/lpc-folk; http://opengameart.org/content/lpc-revised-character-basics; http://opengameart.org/content/sara-wizard; https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing; https://github.com/ElizaWy/LPC/tree/main/Characters/Hair; https://github.com/ElizaWy/LPC/tree/main/Characters/Head; https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Shield%2001%20-%20Heater%20Shield; https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24; https://github.com/jrconway3/Universal-LPC-spritesheet/commit/c32ce8a7edd9fc7fe7daa62a39cf64e5946020a2; https://github.com/makrohn/Universal-LPC-spritesheet/commit/f50007cb47c235d8896cafae7a613f0b6a9a09a8?short_path=02b86d4#diff-02b86d45789a3e3e8e79519c7d17d15c9e6ecc9b4ddecb1bcd8dfbbaef430b75; https://gitlab.com/vagabondgame/lpc-characters; https://opengameart.org/content/3-hairs-for-lpc; https://opengameart.org/content/bunny-rabbit-lpc-style-for-pixelfarm; https://opengameart.org/content/concept-art-for-lpc-entry; https://opengameart.org/content/cyclops-and-his-eye; https://opengameart.org/content/drakes-and-lizardfolk; https://opengameart.org/content/four-characters-my-lpc-entries; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles; https://opengameart.org/content/lpc-2-characters; https://opengameart.org/content/lpc-7-womens-shirts; https://opengameart.org/content/lpc-barbarian-sprite-base; https://opengameart.org/content/lpc-base-character-expressions; https://opengameart.org/content/lpc-be-seated; https://opengameart.org/content/lpc-brunet-mustache; https://opengameart.org/content/lpc-celestial-wizard-hats; https://opengameart.org/content/lpc-character-bases; https://opengameart.org/content/lpc-clothes-and-hair; https://opengameart.org/content/lpc-clothing-updates; https://opengameart.org/content/lpc-combat-armor-for-women; https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more; https://opengameart.org/content/lpc-expanded-armor; https://opengameart.org/content/lpc-expanded-armour; https://opengameart.org/content/lpc-expanded-hair; https://opengameart.org/content/lpc-expanded-hats-facial-helmets; https://opengameart.org/content/lpc-expanded-long-hair; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-simple-shirts; https://opengameart.org/content/lpc-expanded-sit-run-jump-more; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-expanded-xlong-hair; https://opengameart.org/content/lpc-faun-and-minotaur; https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle; https://opengameart.org/content/lpc-furry-ears-tails-for-rpg-sprites; https://opengameart.org/content/lpc-gentleman; https://opengameart.org/content/lpc-hair; https://opengameart.org/content/lpc-hand-tools; https://opengameart.org/content/lpc-helmets; https://opengameart.org/content/lpc-helmets-mega-pack; https://opengameart.org/content/lpc-items-and-game-effects; https://opengameart.org/content/lpc-jewelry; https://opengameart.org/content/lpc-jump-expanded; https://opengameart.org/content/lpc-kimono-relm; https://opengameart.org/content/lpc-ladies; https://opengameart.org/content/lpc-lizard-headgear; https://opengameart.org/content/lpc-long-ears; https://opengameart.org/content/lpc-long-straight-hair-with-12-colors; https://opengameart.org/content/lpc-long-tied-hair-with-12-colors; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-muscular-hurt-animation; https://opengameart.org/content/lpc-muscular-pants; https://opengameart.org/content/lpc-muscular-swing-animation; https://opengameart.org/content/lpc-new-elven-ear-variants; https://opengameart.org/content/lpc-pirates; https://opengameart.org/content/lpc-pointed-hats; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/lpc-realistic-helmet-pack; https://opengameart.org/content/lpc-relm-hair-xlong-ponytail; https://opengameart.org/content/lpc-revised-character-basics; https://opengameart.org/content/lpc-roman-armor; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle; https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads; https://opengameart.org/content/lpc-santa; https://opengameart.org/content/lpc-sara; https://opengameart.org/content/lpc-shields; https://opengameart.org/content/lpc-style-farm-animals; https://opengameart.org/content/lpc-teen-androgynous-short-sleeve-shirt; https://opengameart.org/content/lpc-teen-unisex-base-clothes; https://opengameart.org/content/lpc-white-beard; https://opengameart.org/content/lpc-wings-new-animations; https://opengameart.org/content/lpc-zombie; https://opengameart.org/content/more-lpc-clothes-and-hair; https://opengameart.org/content/ponytail-and-plain-hairstyles; https://opengameart.org/content/shadow-for-lpc-sprite; https://opengameart.org/content/thin-mage-clothing-set; https://opengameart.org/content/ulpc-expanded-expressions
Joe White,126,CC-BY-SA 3.0; OGA-BY 3.0,feet; hair; legs,http://opengameart.org/content/lpc-clothing-updates; https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24; https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles; https://opengameart.org/content/lpc-expanded-hair; https://opengameart.org/content/lpc-expanded-pants; https://opengameart.org/content/lpc-expanded-socks-shoes; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites; https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear; https://opengameart.org/content/ponytail-and-plain-hairstyles; https://opengameart.org/content/thin-mage-clothing-set
